time,open,high,low,close,tick_volume
2020-01-17 00:00:00+00:00,1552.147,1561.156,1549.343,1557.33,53162
2020-01-19 00:00:00+00:00,1558.947,1558.947,1556.292,1556.98,1808
2020-01-20 00:00:00+00:00,1556.975,1562.65,1556.627,1561.177,35364
2020-01-21 00:00:00+00:00,1561.174,1568.507,1546.314,1556.466,62737
2020-01-22 00:00:00+00:00,1556.421,1563.677,1550.135,1561.367,54440
2020-01-23 00:00:00+00:00,1561.378,1567.864,1551.892,1560.889,57507
2020-01-24 00:00:00+00:00,1560.883,1575.728,1556.513,1571.333,54198
2020-01-26 00:00:00+00:00,1581.234,1588.516,1581.234,1582.664,4435
2020-01-27 00:00:00+00:00,1582.704,1586.182,1575.831,1581.06,64194
2020-01-28 00:00:00+00:00,1581.057,1582.959,1565.52,1568.436,58785
2020-01-29 00:00:00+00:00,1568.45,1577.879,1563.318,1577.019,53987
2020-01-30 00:00:00+00:00,1577.001,1585.868,1572.23,1575.1,66345
2020-01-31 00:00:00+00:00,1575.101,1590.317,1570.919,1588.804,61502
2020-02-02 00:00:00+00:00,1588.544,1592.017,1587.972,1589.412,3041
2020-02-03 00:00:00+00:00,1589.377,1589.979,1569.346,1578.756,64774
2020-02-04 00:00:00+00:00,1578.768,1579.535,1549.005,1554.073,60412
2020-02-05 00:00:00+00:00,1554.056,1562.305,1547.479,1556.064,61769
2020-02-06 00:00:00+00:00,1556.024,1568.148,1552.461,1565.753,55277
2020-02-07 00:00:00+00:00,1565.757,1573.935,1560.256,1570.145,57104
2020-02-09 00:00:00+00:00,1569.258,1576.551,1569.028,1574.764,2835
2020-02-10 00:00:00+00:00,1574.725,1576.918,1567.939,1571.928,51544
2020-02-11 00:00:00+00:00,1571.929,1573.923,1562.134,1567.034,51215
2020-02-12 00:00:00+00:00,1566.989,1571.314,1561.82,1569.83,49406
2020-02-13 00:00:00+00:00,1569.767,1578.198,1569.1,1577.307,56505
2020-02-14 00:00:00+00:00,1577.266,1584.899,1573.014,1583.991,47731
2020-02-16 00:00:00+00:00,1581.444,1583.045,1580.429,1582.913,1721
2020-02-17 00:00:00+00:00,1582.92,1585.381,1578.824,1584.221,29368
2020-02-18 00:00:00+00:00,1584.228,1605.016,1584.178,1600.794,53279
2020-02-19 00:00:00+00:00,1600.79,1612.845,1599.466,1610.321,56964
2020-02-20 00:00:00+00:00,1610.317,1623.635,1603.853,1622.098,64208
2020-02-21 00:00:00+00:00,1622.072,1649.102,1618.908,1643.319,66614
2020-02-23 00:00:00+00:00,1659.6,1680.967,1657.703,1665.512,5111
2020-02-24 00:00:00+00:00,1665.489,1689.213,1650.801,1653.9,95174
2020-02-25 00:00:00+00:00,1653.86,1658.684,1624.934,1639.815,107202
2020-02-26 00:00:00+00:00,1639.809,1654.877,1624.966,1643.493,94220
